,0,1,2,3
1,"[16448.0, 17646.0, 17652.0, 16528.0, 16501.0, 16681.0, 16676.0, 17250.0, 17532.0, 17062.0]","[11315.0, 17345.0, 13034.0, 13540.0, 15566.0, 13624.0, 15330.0, 13255.0, 11887.0, 18524.0]","[16443.0, 15170.0, 14160.0, 16974.0, 15636.0, 14659.0, 14654.0, 15664.0, 14999.0, 16341.0]","[16360.0, 17116.0, 16631.0, 15731.0, 16196.0, 16809.0, 14934.0, 15877.0, 16665.0, 15976.0]"
10,"[11874.0, 9274.0, 10073.0, 0.0, 11518.0, 8360.0, 9303.0, 10873.0, 10352.0, 8127.0]","[0.0, 0.0, 0.0, 0.0, 8782.0, 7458.0, 0.0, 11506.0, 0.0, 10138.0]","[6582.0, 9468.0, 6138.0, 7209.0, 0.0, 7731.0, 0.0, 0.0, 0.0, 10369.0]","[8592.0, 0.0, 6612.0, 9988.0, 8289.0, 0.0, 0.0, 0.0, 11003.0, 8396.0]"
100,"[13217.0, 13163.0, 13377.0, 14851.0, 14895.0, 13563.0, 14189.0, 14332.0, 14207.0, 12549.0]","[12336.0, 11942.0, 13082.0, 11238.0, 11858.0, 12488.0, 12351.0, 12305.0, 10875.0, 12134.0]","[13380.0, 12345.0, 13161.0, 13502.0, 13377.0, 13012.0, 12482.0, 13178.0, 12656.0, 12708.0]","[14802.0, 13014.0, 13860.0, 12953.0, 13534.0, 12708.0, 13965.0, 12781.0, 13299.0, 13361.0]"
101,"[12677.0, 10441.0, 11422.0, 12884.0, 13504.0, 13032.0, 14166.0, 12312.0, 13053.0, 12880.0]","[7766.0, 8199.0, 9714.0, 11428.0, 0.0, 12478.0, 11819.0, 10790.0, 9017.0, 12484.0]","[13856.0, 11620.0, 10404.0, 11026.0, 0.0, 10915.0, 12496.0, 12441.0, 11454.0, 10949.0]","[11997.0, 13212.0, 11862.0, 10712.0, 11912.0, 12205.0, 11490.0, 11346.0, 12782.0, 12517.0]"
102,"[22278.0, 18317.0, 20863.0, 17296.0, 17413.0, 19208.0, 15210.0, 17673.0, 16500.0, 18008.0]","[17485.0, 17495.0, 13272.0, 19395.0, 14183.0, 15603.0, 15968.0, 14934.0, 18779.0, 14226.0]","[15329.0, 14928.0, 13741.0, 16329.0, 20503.0, 14633.0, 15720.0, 16116.0, 15616.0, 16034.0]","[17586.0, 16412.0, 17380.0, 15753.0, 17602.0, 17862.0, 18964.0, 16610.0, 18920.0, 17742.0]"
105,"[14544.0, 16262.0, 14323.0, 15403.0, 17873.0, 15503.0, 15827.0, 15467.0, 17908.0, 17743.0]","[14385.0, 15519.0, 13547.0, 13561.0, 12263.0, 13823.0, 13387.0, 13075.0, 12738.0, 12932.0]","[12988.0, 13915.0, 14960.0, 14662.0, 13540.0, 14722.0, 14102.0, 15231.0, 12354.0, 15395.0]","[13902.0, 16459.0, 13905.0, 14372.0, 15642.0, 14907.0, 15397.0, 16290.0, 16460.0, 15101.0]"
107,"[15816.0, 17193.0, 16807.0, 16592.0, 16664.0, 17383.0, 20059.0, 17428.0, 18871.0, 19410.0]","[16103.0, 15204.0, 17277.0, 14621.0, 17287.0, 14447.0, 13210.0, 15862.0, 19198.0, 19322.0]","[16424.0, 16678.0, 17423.0, 15673.0, 14227.0, 18221.0, 15236.0, 17232.0, 15792.0, 15488.0]","[16298.0, 16579.0, 17024.0, 17179.0, 15454.0, 18684.0, 16999.0, 16155.0, 16324.0, 17259.0]"
108,"[18342.0, 14648.0, 16581.0, 16081.0, 15842.0, 17112.0, 14703.0, 16988.0, 16830.0, 16096.0]","[13658.0, 14700.0, 14272.0, 14535.0, 15887.0, 15376.0, 12741.0, 15399.0, 12022.0, 14488.0]","[15850.0, 14813.0, 15441.0, 15452.0, 16872.0, 14423.0, 13709.0, 14823.0, 15162.0, 14224.0]","[14922.0, 15863.0, 15990.0, 15091.0, 15896.0, 16071.0, 15686.0, 15891.0, 15870.0, 15875.0]"
11,"[8693.0, 12167.0, 0.0, 8243.0, 8905.0, 11642.0, 9125.0, 11146.0, 11004.0, 7873.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7336.0, 0.0, 9129.0, 0.0]","[12817.0, 0.0, 6662.0, 0.0, 9605.0, 11459.0, 7328.0, 0.0, 0.0, 9624.0]","[0.0, 10027.0, 8745.0, 0.0, 0.0, 0.0, 8206.0, 9694.0, 10218.0, 8028.0]"
111,"[13397.0, 11750.0, 12351.0, 12241.0, 12812.0, 12495.0, 11578.0, 12001.0, 11736.0, 10497.0]","[9709.0, 10193.0, 10011.0, 10939.0, 10574.0, 9949.0, 13017.0, 10361.0, 9812.0, 8782.0]","[9710.0, 13009.0, 10026.0, 9217.0, 11468.0, 11233.0, 11620.0, 11633.0, 9088.0, 11626.0]","[11662.0, 11558.0, 11577.0, 10648.0, 11776.0, 12246.0, 11429.0, 10957.0, 11002.0, 11752.0]"
