GA_0.7,GA_0.8,GA_0.9,GA_1.0
16518.3,16179.9,16542.5,16224.3
8309.5,7437.9,9409.6,9620.9
961.8,785.4,0.0,945.4
16582.4,16577.1,16721.1,16182.5
18509.9,18986.4,17975.8,18384.2
0.0,0.0,0.0,0.0
18344.0,18387.4,18570.4,18216.8
0.0,0.0,0.0,0.0
16257.6,15516.4,15362.1,15553.8
8054.9,9133.2,6398.4,8916.8
18039.9,18772.2,17859.9,18180.7
0.0,0.0,0.0,0.0
17032.2,17129.2,17137.6,17014.3
0.0,799.9,751.6,0.0
18692.6,18010.9,17905.7,17961.0
0.0,0.0,0.0,0.0
17220.0,17091.5,17595.4,17006.3
13516.3,14252.1,14440.7,13961.0
16626.9,16854.7,17422.3,16978.9
1547.3,0.0,0.0,956.7
13448.0,13568.7,13754.0,13886.6
15032.0,14890.9,14917.4,14978.4
18160.2,18114.4,17554.7,18318.2
17458.7,17860.8,18375.4,17544.4
16448.8,16790.2,16653.4,16386.2
1957.0,0.0,1049.8,0.0
17246.3,17297.6,16496.5,16764.2
17533.6,17262.2,17478.6,18137.0
7947.4,7935.1,9697.3,9033.8
0.0,1621.8,2210.2,0.0
18662.4,19035.4,18642.3,18551.5
14208.2,14825.3,14398.6,13975.8
14698.9,14789.7,14657.6,14301.8
16701.7,16649.6,16656.3,16704.2
0.0,1104.2,0.0,0.0
687.9,1952.2,771.4,1872.8
15476.6,15599.7,15491.2,15601.3
15030.2,15309.3,14939.4,15225.2
0.0,715.3,867.1,0.0
5099.2,10863.6,5207.1,7189.1
0.0,0.0,0.0,0.0
14614.9,14361.4,14642.9,12731.2
13739.9,14515.3,14516.7,14208.6
15973.8,16472.9,16081.7,16827.8
18357.3,17960.1,18167.4,18037.8
18095.0,18008.0,18250.8,18689.5
