,0,1,2,3
115,"[13943.0, 15429.0, 12141.0, 14526.0, 13262.0, 12616.0, 13888.0, 13585.0, 12837.0, 13239.0]","[11432.0, 13273.0, 0.0, 14437.0, 11398.0, 10343.0, 10852.0, 12546.0, 14396.0, 11797.0]","[11762.0, 13629.0, 10433.0, 13854.0, 10995.0, 13001.0, 11076.0, 13827.0, 11241.0, 13516.0]","[12575.0, 14159.0, 12223.0, 13179.0, 13057.0, 13033.0, 13332.0, 12114.0, 12638.0, 12357.0]"
116,"[19335.0, 18435.0, 18858.0, 19024.0, 18422.0, 19421.0, 19024.0, 18619.0, 20010.0, 18553.0]","[17445.0, 16905.0, 16882.0, 15858.0, 16584.0, 17739.0, 18890.0, 15460.0, 20345.0, 13944.0]","[13946.0, 17895.0, 17454.0, 18716.0, 15733.0, 18500.0, 15974.0, 19551.0, 18644.0, 15375.0]","[17484.0, 18228.0, 17238.0, 17504.0, 18117.0, 18893.0, 18097.0, 17761.0, 18713.0, 18168.0]"
117,"[13404.0, 12806.0, 15429.0, 13614.0, 13506.0, 14031.0, 13762.0, 12725.0, 13264.0, 12643.0]","[11061.0, 12746.0, 11992.0, 11188.0, 14929.0, 12339.0, 14279.0, 10936.0, 11651.0, 10220.0]","[11678.0, 12943.0, 12185.0, 11845.0, 13620.0, 13606.0, 12754.0, 11419.0, 12445.0, 11467.0]","[12230.0, 12119.0, 12968.0, 12533.0, 13423.0, 12882.0, 12146.0, 12137.0, 12516.0, 12574.0]"
118,"[10759.0, 10190.0, 10785.0, 11253.0, 10896.0, 11219.0, 12029.0, 11358.0, 9300.0, 11888.0]","[10384.0, 0.0, 0.0, 7975.0, 9976.0, 10389.0, 0.0, 6878.0, 0.0, 10553.0]","[12397.0, 0.0, 9609.0, 9646.0, 8293.0, 0.0, 12038.0, 9537.0, 11223.0, 10762.0]","[11457.0, 10284.0, 10285.0, 10995.0, 12080.0, 0.0, 10694.0, 13120.0, 12429.0, 0.0]"
119,"[15805.0, 17157.0, 18145.0, 21068.0, 18845.0, 15818.0, 16702.0, 17208.0, 16750.0, 16928.0]","[17092.0, 14137.0, 13677.0, 16195.0, 15587.0, 15674.0, 15425.0, 16160.0, 15041.0, 15445.0]","[16162.0, 14423.0, 15587.0, 15035.0, 13999.0, 15870.0, 16773.0, 16578.0, 17189.0, 16569.0]","[16342.0, 18222.0, 15321.0, 16242.0, 15269.0, 17936.0, 15830.0, 15683.0, 15925.0, 15843.0]"
12,"[15868.0, 16692.0, 16171.0, 16354.0, 15579.0, 16563.0, 16837.0, 14994.0, 15385.0, 15256.0]","[14480.0, 13279.0, 15838.0, 11612.0, 13076.0, 13162.0, 15047.0, 14646.0, 12777.0, 12508.0]","[13590.0, 15526.0, 13992.0, 14830.0, 15365.0, 13726.0, 12919.0, 14682.0, 14067.0, 13048.0]","[14509.0, 14946.0, 15600.0, 15214.0, 15364.0, 15870.0, 15312.0, 14666.0, 15311.0, 15412.0]"
120,"[15049.0, 13965.0, 17584.0, 14883.0, 16343.0, 17153.0, 17357.0, 15938.0, 16070.0, 16289.0]","[13850.0, 14084.0, 14770.0, 12575.0, 14600.0, 14841.0, 14723.0, 11852.0, 13631.0, 10603.0]","[15542.0, 15152.0, 14386.0, 14629.0, 14278.0, 14205.0, 14634.0, 14771.0, 13682.0, 14781.0]","[16951.0, 14037.0, 16331.0, 14137.0, 15010.0, 14173.0, 15941.0, 16135.0, 17083.0, 15234.0]"
121,"[19118.0, 17835.0, 19517.0, 17192.0, 19088.0, 17150.0, 18995.0, 16682.0, 18654.0, 18091.0]","[17168.0, 15245.0, 12376.0, 15597.0, 19126.0, 14170.0, 16133.0, 16517.0, 14228.0, 15399.0]","[15508.0, 16943.0, 14582.0, 15318.0, 16893.0, 14961.0, 15286.0, 17714.0, 15207.0, 17735.0]","[19421.0, 16217.0, 16085.0, 16627.0, 16635.0, 17677.0, 18566.0, 15438.0, 18078.0, 18675.0]"
122,"[9149.0, 10527.0, 11021.0, 11230.0, 11107.0, 9085.0, 12491.0, 12284.0, 10552.0, 11170.0]","[10119.0, 8828.0, 0.0, 10820.0, 0.0, 0.0, 0.0, 11460.0, 0.0, 7751.0]","[10073.0, 11405.0, 0.0, 0.0, 0.0, 0.0, 10332.0, 13886.0, 12094.0, 0.0]","[11035.0, 10067.0, 9993.0, 10158.0, 0.0, 11277.0, 0.0, 12040.0, 12409.0, 11490.0]"
124,"[19348.0, 19138.0, 19215.0, 18653.0, 17894.0, 17352.0, 19282.0, 20259.0, 16983.0, 19560.0]","[14110.0, 14623.0, 15785.0, 16078.0, 14253.0, 19130.0, 16050.0, 16196.0, 14651.0, 13831.0]","[15275.0, 15110.0, 16165.0, 17762.0, 17532.0, 15869.0, 16158.0, 15733.0, 18525.0, 15725.0]","[18662.0, 18732.0, 16029.0, 19551.0, 19131.0, 17512.0, 17901.0, 18299.0, 17164.0, 17748.0]"
