,0,1,2,3
0,"[16912.0, 16397.0, 16391.0, 15648.0, 18019.0, 15398.0, 15686.0, 14633.0, 16685.0, 15401.0]","[14169.0, 14014.0, 14794.0, 15810.0, 13930.0, 11725.0, 13832.0, 13980.0, 13556.0, 13510.0]","[14409.0, 13388.0, 15134.0, 15717.0, 16376.0, 15034.0, 14447.0, 14804.0, 14412.0, 14525.0]","[14923.0, 15191.0, 15168.0, 15203.0, 16169.0, 15391.0, 15614.0, 16582.0, 15622.0, 15627.0]"
1,"[15158.0, 15072.0, 16618.0, 15277.0, 17308.0, 14206.0, 14347.0, 15327.0, 15373.0, 14649.0]","[12999.0, 14992.0, 13978.0, 15929.0, 15544.0, 15898.0, 12961.0, 15137.0, 11649.0, 13652.0]","[16030.0, 15119.0, 15091.0, 14748.0, 12968.0, 15161.0, 14879.0, 16064.0, 15270.0, 15527.0]","[16149.0, 16801.0, 13703.0, 15230.0, 14886.0, 14423.0, 15204.0, 16133.0, 14550.0, 15952.0]"
10,"[13191.0, 10202.0, 8348.0, 8583.0, 12298.0, 13522.0, 10361.0, 10017.0, 13173.0, 12026.0]","[0.0, 9007.0, 8821.0, 0.0, 0.0, 0.0, 12324.0, 10897.0, 0.0, 0.0]","[0.0, 12702.0, 11433.0, 11664.0, 9620.0, 0.0, 0.0, 0.0, 14876.0, 13263.0]","[12078.0, 13132.0, 11713.0, 13425.0, 11790.0, 0.0, 0.0, 10925.0, 10522.0, 12022.0]"
100,"[14246.0, 10011.0, 12593.0, 10389.0, 10504.0, 13092.0, 12332.0, 11307.0, 9456.0, 11808.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 10974.0, 0.0, 10064.0, 0.0, 0.0]","[9594.0, 11513.0, 9902.0, 0.0, 9753.0, 0.0, 8103.0, 0.0, 0.0, 10694.0]","[10228.0, 0.0, 10713.0, 11668.0, 10622.0, 11320.0, 11307.0, 0.0, 11354.0, 11362.0]"
101,"[16931.0, 19345.0, 18384.0, 18223.0, 18918.0, 17961.0, 16078.0, 21256.0, 21017.0, 17327.0]","[14672.0, 16434.0, 14865.0, 13038.0, 15172.0, 16190.0, 13873.0, 14353.0, 17255.0, 17657.0]","[15682.0, 18019.0, 19327.0, 17651.0, 15799.0, 18628.0, 16755.0, 16314.0, 16839.0, 17659.0]","[18602.0, 17778.0, 18135.0, 15947.0, 17547.0, 17830.0, 17406.0, 17470.0, 21636.0, 18842.0]"
102,"[15919.0, 16047.0, 15955.0, 16042.0, 14080.0, 12243.0, 14408.0, 14320.0, 16144.0, 13781.0]","[14928.0, 12686.0, 15630.0, 12868.0, 10665.0, 12267.0, 13559.0, 12747.0, 0.0, 10539.0]","[13554.0, 13743.0, 12749.0, 12389.0, 13282.0, 15332.0, 12788.0, 12488.0, 13477.0, 14684.0]","[14990.0, 14662.0, 13892.0, 14652.0, 13820.0, 15122.0, 14374.0, 14704.0, 15362.0, 14938.0]"
103,"[17290.0, 14714.0, 17276.0, 16674.0, 18242.0, 17807.0, 16748.0, 15857.0, 14572.0, 15540.0]","[15708.0, 14842.0, 13000.0, 16830.0, 12610.0, 16127.0, 13590.0, 15571.0, 15717.0, 13858.0]","[16531.0, 16242.0, 15335.0, 14141.0, 14601.0, 14818.0, 14616.0, 14853.0, 16000.0, 14959.0]","[15524.0, 15550.0, 15796.0, 15578.0, 16315.0, 16912.0, 15883.0, 16232.0, 16374.0, 15992.0]"
104,"[15134.0, 15541.0, 15631.0, 15870.0, 16363.0, 15679.0, 14797.0, 17691.0, 14896.0, 14776.0]","[15169.0, 14797.0, 14242.0, 13385.0, 14303.0, 15535.0, 12721.0, 12728.0, 13332.0, 14527.0]","[13891.0, 15724.0, 14408.0, 14255.0, 13993.0, 14800.0, 11929.0, 16454.0, 13965.0, 16046.0]","[14962.0, 15149.0, 15362.0, 16707.0, 15643.0, 15990.0, 15125.0, 16427.0, 15005.0, 15104.0]"
107,"[16248.0, 15534.0, 14924.0, 16306.0, 16029.0, 17008.0, 15466.0, 14718.0, 13936.0, 13691.0]","[13872.0, 14708.0, 12983.0, 15069.0, 14046.0, 13003.0, 14425.0, 14009.0, 15269.0, 14092.0]","[15181.0, 14107.0, 14256.0, 12702.0, 14297.0, 14126.0, 15294.0, 15327.0, 15602.0, 14430.0]","[14235.0, 15199.0, 14733.0, 14249.0, 16275.0, 15055.0, 15424.0, 13376.0, 15938.0, 15749.0]"
108,"[17235.0, 17830.0, 16397.0, 17019.0, 17540.0, 19076.0, 15777.0, 17701.0, 16355.0, 15830.0]","[11955.0, 15198.0, 11987.0, 14873.0, 14030.0, 16603.0, 11850.0, 15679.0, 11640.0, 16671.0]","[14795.0, 13491.0, 15103.0, 15895.0, 14972.0, 14384.0, 14750.0, 14855.0, 13947.0, 15074.0]","[17299.0, 16484.0, 13452.0, 15164.0, 15801.0, 16224.0, 17249.0, 18191.0, 17338.0, 15055.0]"
109,"[17871.0, 17311.0, 16084.0, 18586.0, 18404.0, 17994.0, 17205.0, 18914.0, 18263.0, 17423.0]","[17137.0, 15139.0, 13678.0, 16422.0, 16156.0, 12783.0, 14406.0, 15765.0, 14865.0, 19244.0]","[19110.0, 18552.0, 17294.0, 16774.0, 18099.0, 14280.0, 17952.0, 16639.0, 15499.0, 16334.0]","[18538.0, 16306.0, 16145.0, 18534.0, 17327.0, 15947.0, 17849.0, 16396.0, 19073.0, 16882.0]"
11,"[10965.0, 10646.0, 11092.0, 11682.0, 11186.0, 11296.0, 12874.0, 11434.0, 11842.0, 11484.0]","[0.0, 9764.0, 0.0, 12254.0, 11636.0, 0.0, 9169.0, 0.0, 11385.0, 0.0]","[8935.0, 8096.0, 8041.0, 11172.0, 8968.0, 11437.0, 0.0, 9689.0, 11857.0, 8910.0]","[12194.0, 13143.0, 0.0, 11890.0, 10838.0, 12683.0, 11261.0, 11544.0, 11632.0, 10954.0]"
