,0,1,2,3
112,"[7788.0, 0.0, 9130.0, 7116.0, 0.0, 0.0, 7180.0, 0.0, 0.0, 8296.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 8083.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 6511.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[9621.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 8533.0, 0.0]"
114,"[15698.0, 17948.0, 17223.0, 17358.0, 17825.0, 17422.0, 17525.0, 19678.0, 18043.0, 17672.0]","[16284.0, 14611.0, 16829.0, 14334.0, 16528.0, 17533.0, 15488.0, 16763.0, 15270.0, 14351.0]","[17557.0, 17334.0, 17674.0, 15821.0, 16278.0, 17933.0, 16146.0, 15817.0, 16601.0, 15771.0]","[17034.0, 16997.0, 17944.0, 16900.0, 17316.0, 17672.0, 17303.0, 17984.0, 16884.0, 16650.0]"
115,"[18685.0, 19399.0, 17942.0, 17968.0, 18592.0, 20523.0, 21504.0, 16852.0, 20991.0, 18664.0]","[14825.0, 17544.0, 15602.0, 20804.0, 18856.0, 19220.0, 19195.0, 15869.0, 14368.0, 17297.0]","[17203.0, 16228.0, 16492.0, 17421.0, 16913.0, 16571.0, 15722.0, 15533.0, 18816.0, 17651.0]","[19181.0, 18979.0, 16963.0, 19284.0, 20155.0, 17085.0, 18106.0, 17287.0, 19405.0, 18609.0]"
116,"[18840.0, 18139.0, 19238.0, 19953.0, 20873.0, 19863.0, 20379.0, 16184.0, 19018.0, 19035.0]","[20095.0, 17129.0, 15959.0, 15619.0, 15048.0, 17598.0, 15140.0, 13778.0, 17577.0, 15039.0]","[17445.0, 15654.0, 14466.0, 15179.0, 18528.0, 17361.0, 16424.0, 16108.0, 16370.0, 18601.0]","[18302.0, 17850.0, 18613.0, 18723.0, 19873.0, 17156.0, 17603.0, 18608.0, 17464.0, 17505.0]"
117,"[16892.0, 17932.0, 18417.0, 17171.0, 17462.0, 16559.0, 19717.0, 18545.0, 17912.0, 16679.0]","[15115.0, 16372.0, 15586.0, 16879.0, 15371.0, 18258.0, 16798.0, 13823.0, 15968.0, 16447.0]","[16810.0, 19018.0, 15165.0, 19475.0, 17761.0, 15037.0, 16632.0, 17021.0, 18011.0, 16724.0]","[17842.0, 17943.0, 17224.0, 17307.0, 16495.0, 17028.0, 17711.0, 17066.0, 17600.0, 16297.0]"
118,"[12260.0, 12785.0, 12336.0, 11692.0, 9195.0, 12110.0, 11535.0, 11582.0, 12648.0, 11329.0]","[14072.0, 12510.0, 0.0, 0.0, 0.0, 0.0, 13551.0, 12203.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 7273.0, 0.0, 8677.0, 0.0, 9861.0, 0.0, 0.0]","[11249.0, 8867.0, 0.0, 12348.0, 0.0, 12016.0, 10917.0, 11201.0, 11610.0, 13150.0]"
119,"[13238.0, 13974.0, 13388.0, 14895.0, 13792.0, 15429.0, 13679.0, 11579.0, 14493.0, 11776.0]","[0.0, 9929.0, 11881.0, 0.0, 0.0, 12751.0, 12302.0, 0.0, 11114.0, 10867.0]","[10297.0, 13162.0, 12657.0, 9867.0, 11935.0, 13490.0, 0.0, 10228.0, 13756.0, 12890.0]","[13809.0, 14666.0, 12507.0, 12249.0, 12274.0, 13743.0, 12778.0, 13784.0, 13614.0, 12095.0]"
12,"[15217.0, 13909.0, 15289.0, 13719.0, 15189.0, 15106.0, 12852.0, 14942.0, 13553.0, 13380.0]","[10609.0, 13120.0, 12376.0, 14294.0, 14425.0, 10027.0, 11673.0, 14060.0, 11650.0, 15213.0]","[12635.0, 12575.0, 11584.0, 13050.0, 10791.0, 14217.0, 0.0, 13092.0, 12694.0, 14095.0]","[14231.0, 13792.0, 12519.0, 14080.0, 13051.0, 13280.0, 12347.0, 14302.0, 13527.0, 13431.0]"
120,"[18634.0, 17652.0, 19971.0, 18987.0, 20916.0, 19011.0, 20807.0, 19210.0, 19099.0, 18067.0]","[16861.0, 16606.0, 17125.0, 16443.0, 18970.0, 17780.0, 17647.0, 17454.0, 14109.0, 18673.0]","[18450.0, 17820.0, 19046.0, 18810.0, 16892.0, 16236.0, 17860.0, 19003.0, 18359.0, 18119.0]","[18041.0, 18085.0, 19265.0, 19807.0, 19360.0, 20063.0, 18570.0, 18206.0, 19179.0, 17485.0]"
122,"[8959.0, 11005.0, 10625.0, 0.0, 9306.0, 9511.0, 10665.0, 9397.0, 10059.0, 8690.0]","[9210.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 10741.0, 11208.0, 9071.0, 0.0, 0.0, 0.0, 9334.0, 0.0, 0.0]","[10677.0, 0.0, 11076.0, 0.0, 9698.0, 0.0, 0.0, 0.0, 10806.0, 7052.0]"
